,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
0,2020/03/24 11:00:28 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Пользуюсь, буду продолжать",3.0
1,2020/03/24 11:06:12 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",1.0
2,2020/03/24 11:11:20 PM GMT+3,24-26,"Зарплата;Доход от инвестиций (вклады, ценные бумаги и т.д.)",Сбербанк;ВТБ;Альфа-Банк;РокетБанк,"Пользуюсь, буду продолжать",4.0
3,2020/03/24 11:18:01 PM GMT+3,18-20,"Доход от инвестиций (вклады, ценные бумаги и т.д.);Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",5.0
4,2020/03/24 11:25:07 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",0.0
5,2020/03/24 11:25:51 PM GMT+3,24-26,Зарплата,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",5.0
6,2020/03/24 11:28:18 PM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
7,2020/03/24 11:29:16 PM GMT+3,21-23,Стипендия;Зарплата,Сбербанк;РокетБанк,"Не пользуюсь, не хочу открывать",2.0
8,2020/03/24 11:31:26 PM GMT+3,,,,,
9,2020/03/24 11:33:48 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",2.0
10,2020/03/24 11:34:09 PM GMT+3,18-20,"Доход от инвестиций (вклады, ценные бумаги и т.д.)",Тинькофф,"Не пользуюсь, не хочу открывать",1.0
11,2020/03/24 11:34:39 PM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Райффайзен банк,"Не пользуюсь, не хочу открывать",2.0
12,2020/03/24 11:34:51 PM GMT+3,21-23,Стипендия;Зарплата,Сбербанк;Тинькофф;Другой,"Не пользуюсь, не хочу открывать",3.0
13,2020/03/24 11:35:17 PM GMT+3,24-26,Зарплата,Тинькофф,"Пользуюсь, буду продолжать",3.0
14,2020/03/24 11:35:19 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;РокетБанк,"Пользуюсь, буду продолжать",3.0
15,2020/03/24 11:35:52 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;Альфа-Банк,"Не пользуюсь, не хочу открывать",1.0
16,2020/03/24 11:36:53 PM GMT+3,больше,Зарплата,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",3.0
17,2020/03/24 11:37:19 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
18,2020/03/24 11:38:17 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",3.0
19,2020/03/24 11:38:58 PM GMT+3,18-20,"Стипендия;Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Другой,"Не пользуюсь, не хочу открывать",3.0
